,data_type_code,time_slot_id,seasonally_adj,category_code,cell_value,time
333,E_MPCSM,721,no,44811,0.6,2010-01
334,SM,721,yes,44811,595,2010-01
335,MPCSM,721,yes,44811,2.1,2010-01
336,E_SM,721,yes,44811,2.9,2010-01
337,E_MPCSM,721,yes,44811,0.6,2010-01
338,SM,721,no,44812,2304,2010-01
339,MPCSM,721,no,44812,-43.4,2010-01
340,E_SM,721,no,44812,1.4,2010-01
341,E_MPCSM,721,no,44812,0.4,2010-01
342,SM,721,yes,44812,3052,2010-01
343,MPCSM,721,yes,44812,2.6,2010-01
344,E_SM,721,yes,44812,1.4,2010-01
345,E_MPCSM,721,yes,44812,0.4,2010-01
346,SM,721,no,44814,4971,2010-01
347,MPCSM,721,no,44814,-53.0,2010-01
348,E_SM,721,no,44814,5.3,2010-01
349,E_MPCSM,721,no,44814,0.2,2010-01
350,E_SM,721,yes,44814,5.3,2010-01
351,E_MPCSM,721,yes,44814,0.2,2010-01
352,MPCSM,721,no,44819,-30.1,2010-01
353,SM,721,no,44819,945,2010-01
354,E_SM,721,no,44819,7.0,2010-01
355,E_MPCSM,721,no,44819,2.4,2010-01
356,E_SM,721,yes,44819,7.0,2010-01
357,E_MPCSM,721,yes,44819,2.4,2010-01
358,MPCSM,721,no,4482,-41.2,2010-01
359,SM,721,no,4482,1706,2010-01
360,E_SM,721,no,4482,2.6,2010-01
361,E_MPCSM,721,no,4482,0.5,2010-01
362,SM,721,yes,4482,2198,2010-01
363,MPCSM,721,yes,4482,0.7,2010-01
364,E_SM,721,yes,4482,2.6,2010-01
365,E_MPCSM,721,yes,4482,0.5,2010-01
366,MPCSM,721,no,44831,-71.6,2010-01
367,SM,721,no,44831,1496,2010-01
368,E_SM,721,no,44831,5.5,2010-01
369,E_MPCSM,721,no,44831,1.1,2010-01
370,SM,721,yes,44831,2146,2010-01
371,MPCSM,721,yes,44831,-2.5,2010-01
372,E_SM,721,yes,44831,5.5,2010-01
373,E_MPCSM,721,yes,44831,1.1,2010-01
374,SM,721,no,44W72,230542,2010-01
375,MPCSM,721,no,44W72,-25.4,2010-01
376,MPCSM,721,yes,44W72,0.0,2010-01
377,SM,721,yes,44W72,251911,2010-01
378,MPCSM,721,no,44X72,-21.4,2010-01
379,SM,721,no,44X72,314557,2010-01
380,E_SM,721,no,44X72,0.6,2010-01
381,E_MPCSM,721,no,44X72,0.2,2010-01
382,MPCSM,721,yes,44X72,0.0,2010-01
383,SM,721,yes,44X72,346189,2010-01
384,E_SM,721,yes,44X72,0.6,2010-01
385,E_MPCSM,721,yes,44X72,0.2,2010-01
386,SM,721,no,44Y72,264687,2010-01
387,MPCSM,721,no,44Y72,-23.2,2010-01
388,E_SM,721,no,44Y72,0.6,2010-01
389,E_MPCSM,721,no,44Y72,0.2,2010-01
390,MPCSM,721,yes,44Y72,0.1,2010-01
391,SM,721,yes,44Y72,289269,2010-01
392,E_SM,721,yes,44Y72,0.6,2010-01
393,E_MPCSM,721,yes,44Y72,0.2,2010-01
394,SM,721,no,44Z72,280412,2010-01
395,MPCSM,721,no,44Z72,-23.2,2010-01
396,MPCSM,721,yes,44Z72,0.0,2010-01
397,SM,721,yes,44Z72,308831,2010-01
398,SM,721,no,451,6247,2010-01
399,MPCSM,721,no,451,-42.3,2010-01
400,E_MPCSM,721,no,451,0.7,2010-01
401,E_SM,721,no,451,2.8,2010-01
402,SM,721,yes,451,6555,2010-01
403,MPCSM,721,yes,451,0.5,2010-01
404,E_SM,721,yes,451,2.8,2010-01
405,E_MPCSM,721,yes,451,0.7,2010-01
406,MPCSM,721,no,45111,-50.1,2010-01
407,SM,721,no,45111,2373,2010-01
408,E_MPCSM,721,no,45111,1.0,2010-01
409,E_SM,721,no,45111,5.9,2010-01
410,E_MPCSM,721,yes,45111,1.0,2010-01
411,E_SM,721,yes,45111,5.9,2010-01
412,MPCSM,721,no,45112,-68.2,2010-01
413,SM,721,no,45112,958,2010-01
414,E_MPCSM,721,no,45112,1.3,2010-01
415,E_SM,721,no,45112,8.5,2010-01
416,E_MPCSM,721,yes,45112,1.3,2010-01
417,E_SM,721,yes,45112,8.5,2010-01
418,MPCSM,721,no,451211,12.5,2010-01
419,SM,721,no,451211,2150,2010-01
420,E_MPCSM,721,no,451211,2.6,2010-01
421,E_SM,721,no,451211,4.2,2010-01
422,E_MPCSM,721,yes,451211,2.6,2010-01
423,E_SM,721,yes,451211,4.2,2010-01
424,IR,721,no,452,1.48,2010-01
425,MPCSM,721,no,452,-37.3,2010-01
426,MPCIM,721,no,452,-2.9,2010-01
427,SM,721,no,452,43853,2010-01
428,IM,721,no,452,64810,2010-01
429,E_IR,721,no,452,0.00,2010-01
430,E_MPCIM,721,no,452,0.0,2010-01
431,E_MPCSM,721,no,452,0.1,2010-01
432,E_IM,721,no,452,0.4,2010-01
433,E_SM,721,no,452,0.2,2010-01
434,IR,721,yes,452,1.39,2010-01
435,MPCSM,721,yes,452,0.4,2010-01
436,IM,721,yes,452,69229,2010-01
437,SM,721,yes,452,49864,2010-01
438,MPCIM,721,yes,452,-0.6,2010-01
439,E_IR,721,yes,452,0.00,2010-01
440,E_MPCIM,721,yes,452,0.0,2010-01
441,E_MPCSM,721,yes,452,0.1,2010-01
442,E_IM,721,yes,452,0.4,2010-01
443,E_SM,721,yes,452,0.2,2010-01
444,MPCSM,721,no,452111E,-60.2,2010-01
445,SM,721,no,452111E,3910,2010-01
446,E_MPCSM,721,no,452111E,0.0,2010-01
447,E_SM,721,no,452111E,0.0,2010-01
448,E_MPCSM,721,yes,452111E,0.0,2010-01
449,E_SM,721,yes,452111E,0.0,2010-01
450,MPCSM,721,no,452111I,-60.1,2010-01
451,SM,721,no,452111I,4013,2010-01
452,E_MPCSM,721,no,452111I,0.0,2010-01
453,E_SM,721,no,452111I,0.0,2010-01
454,E_MPCSM,721,yes,452111I,0.0,2010-01
455,E_SM,721,yes,452111I,0.0,2010-01
456,MPCSM,721,no,452112E,-49.9,2010-01
457,SM,721,no,452112E,8388,2010-01
458,E_MPCSM,721,no,452112E,0.0,2010-01
459,E_SM,721,no,452112E,0.0,2010-01
460,E_MPCSM,721,yes,452112E,0.0,2010-01
461,E_SM,721,yes,452112E,0.0,2010-01
462,MPCSM,721,no,452112I,-49.9,2010-01
463,SM,721,no,452112I,8443,2010-01
464,E_MPCSM,721,no,452112I,0.0,2010-01
465,E_SM,721,no,452112I,0.0,2010-01
466,E_MPCSM,721,yes,452112I,0.0,2010-01
467,E_SM,721,yes,452112I,0.0,2010-01
468,MPCSM,721,no,4521E,-53.7,2010-01
469,MPCIM,721,no,4521E,-0.3,2010-01
470,IR,721,no,4521E,2.34,2010-01
471,SM,721,no,4521E,12298,2010-01
472,IM,721,no,4521E,28811,2010-01
473,E_IR,721,no,4521E,0.00,2010-01
474,E_MPCIM,721,no,4521E,0.0,2010-01
475,E_MPCSM,721,no,4521E,0.0,2010-01
476,E_IM,721,no,4521E,0.0,2010-01
477,E_SM,721,no,4521E,0.0,2010-01
478,IM,721,yes,4521E,31215,2010-01
479,IR,721,yes,4521E,2.00,2010-01
480,SM,721,yes,4521E,15578,2010-01
481,MPCSM,721,yes,4521E,0.8,2010-01
482,MPCIM,721,yes,4521E,1.3,2010-01
483,E_IR,721,yes,4521E,0.00,2010-01
484,E_MPCIM,721,yes,4521E,0.0,2010-01
485,E_MPCSM,721,yes,4521E,0.0,2010-01
486,E_IM,721,yes,4521E,0.0,2010-01
487,E_SM,721,yes,4521E,0.0,2010-01
488,MPCSM,721,no,4521I,-53.7,2010-01
489,SM,721,no,4521I,12456,2010-01
490,E_MPCSM,721,no,4521I,0.0,2010-01
491,E_SM,721,no,4521I,0.0,2010-01
492,E_MPCSM,721,yes,4521I,0.0,2010-01
493,E_SM,721,yes,4521I,0.0,2010-01
494,MPCSM,721,no,4529,-27.3,2010-01
495,SM,721,no,4529,31555,2010-01
496,E_MPCSM,721,no,4529,0.1,2010-01
497,E_SM,721,no,4529,0.3,2010-01
498,MPCSM,721,yes,4529,0.3,2010-01
499,SM,721,yes,4529,34286,2010-01
500,E_MPCSM,721,yes,4529,0.1,2010-01
501,E_SM,721,yes,4529,0.3,2010-01
502,MPCSM,721,no,45291,-25.1,2010-01
503,SM,721,no,45291,28171,2010-01
504,E_MPCSM,721,no,45291,0.0,2010-01
505,E_SM,721,no,45291,0.0,2010-01
506,MPCSM,721,yes,45291,0.3,2010-01
507,SM,721,yes,45291,30194,2010-01
508,E_MPCSM,721,yes,45291,0.0,2010-01
509,E_SM,721,yes,45291,0.0,2010-01
510,MPCSM,721,no,45299,-41.5,2010-01
511,SM,721,no,45299,3384,2010-01
512,E_MPCSM,721,no,45299,0.6,2010-01
513,E_SM,721,no,45299,3.1,2010-01
514,SM,721,yes,45299,4092,2010-01
515,MPCSM,721,yes,45299,0.0,2010-01
516,E_MPCSM,721,yes,45299,0.6,2010-01
517,E_SM,721,yes,45299,3.1,2010-01
518,MPCSM,721,no,453,-28.0,2010-01
519,SM,721,no,453,7244,2010-01
520,E_MPCSM,721,no,453,1.7,2010-01
521,E_SM,721,no,453,2.3,2010-01
522,MPCSM,721,yes,453,-2.5,2010-01
523,SM,721,yes,453,8376,2010-01
524,E_MPCSM,721,yes,453,1.7,2010-01
525,E_SM,721,yes,453,2.3,2010-01
526,MPCSM,721,no,4532,-30.4,2010-01
527,SM,721,no,4532,2634,2010-01
528,E_MPCSM,721,no,4532,1.2,2010-01
529,E_SM,721,no,4532,3.1,2010-01
530,E_MPCSM,721,yes,4532,1.2,2010-01
531,E_SM,721,yes,4532,3.1,2010-01
532,MPCSM,721,no,45321,-5.3,2010-01
533,SM,721,no,45321,1738,2010-01
534,E_MPCSM,721,no,45321,1.2,2010-01
535,E_SM,721,no,45321,3.5,2010-01
536,E_MPCSM,721,yes,45321,1.2,2010-01
537,E_SM,721,yes,45321,3.5,2010-01
538,MPCSM,721,no,45322,-54.0,2010-01
539,SM,721,no,45322,896,2010-01
540,E_MPCSM,721,no,45322,1.1,2010-01
541,E_SM,721,no,45322,5.3,2010-01
542,E_MPCSM,721,yes,45322,1.1,2010-01
543,E_SM,721,yes,45322,5.3,2010-01
544,MPCSM,721,no,45330,-16.0,2010-01
545,SM,721,no,45330,822,2010-01
546,E_MPCSM,721,no,45330,3.7,2010-01
547,E_SM,721,no,45330,8.8,2010-01
548,E_MPCSM,721,yes,45330,3.7,2010-01
549,E_SM,721,yes,45330,8.8,2010-01
550,SM,721,no,454,27365,2010-01
551,MPCSM,721,no,454,-27.0,2010-01
552,E_MPCSM,721,no,454,0.7,2010-01
553,E_SM,721,no,454,1.9,2010-01
554,MPCSM,721,yes,454,1.1,2010-01
555,SM,721,yes,454,27280,2010-01
556,E_MPCSM,721,yes,454,0.7,2010-01
557,E_SM,721,yes,454,1.9,2010-01
558,MPCSM,721,no,4541,-34.2,2010-01
559,SM,721,no,4541,19565,2010-01
560,E_MPCSM,721,no,4541,0.7,2010-01
561,E_SM,721,no,4541,2.0,2010-01
562,MPCSM,721,yes,4541,0.9,2010-01
563,SM,721,yes,4541,20726,2010-01
564,E_MPCSM,721,yes,4541,0.7,2010-01
565,E_SM,721,yes,4541,2.0,2010-01
566,SM,721,no,45431,4743,2010-01
567,MPCSM,721,no,45431,11.6,2010-01
568,E_MPCSM,721,no,45431,1.2,2010-01
569,E_SM,721,no,45431,6.3,2010-01
570,SM,721,yes,45431,3052,2010-01
571,MPCSM,721,yes,45431,1.4,2010-01
572,E_MPCSM,721,yes,45431,1.2,2010-01
573,E_SM,721,yes,45431,6.3,2010-01
574,MPCSM,721,no,722,-5.4,2010-01
575,SM,721,no,722,35513,2010-01
576,E_MPCSM,721,no,722,0.7,2010-01
577,E_SM,721,no,722,2.0,2010-01
578,SM,721,yes,722,37660,2010-01
579,MPCSM,721,yes,722,0.0,2010-01
580,E_MPCSM,721,yes,722,0.7,2010-01
581,E_SM,721,yes,722,2.0,2010-01
