"By commodity groups","By sales channel",2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04 p),2020. 05 p)
"Travel arrangement and transportation services","Total",1215463,1110440,1072596,1134841,1181895,1210908,1379402,1406339,1222948,1207513,1157662,1278343,1491434,1246049,1264187,1320458,1429210,1413924,1568131,1560063,1265599,1329206,1296434,1396719,1506113,1381332,1345140,1359831,1452693,1441717,1606012,1625159,1315828,1433122,1440160,1568794,1541603,710501,363297,442878,558302
"Travel arrangement and transportation services","Internet shopping",603688,552472,510654,534384,574594,605089,643280,645755,538530,549027,518560,522992,685630,548038,569662,588518,632925,627024,668379,650988,515727,586580,548742,572556,609737,558043,550172,556915,581908,575561,619626,606180,492899,556266,561963,600621,567386,248663,106951,99346,124516
"Travel arrangement and transportation services","Mobile shopping",611775,557968,561942,600457,607302,605819,736121,760584,684418,658486,639102,755350,805804,698011,694525,731940,796285,786901,899752,909075,749872,742626,747692,824163,896376,823289,794968,802916,870785,866156,986386,1018979,822929,876856,878197,968173,974217,461838,256346,343532,433786
"Culture and leisure services","Total",164254,123892,138133,119599,133785,144311,151647,184883,127031,179505,145082,207050,182387,151838,171416,164965,153740,169621,164228,213527,183281,186480,187011,196749,163249,174886,181135,179770,174178,225380,195490,197185,153186,187668,197167,183440,159704,58635,20141,25528,48528
"Culture and leisure services","Internet shopping",94242,72901,88936,66084,76776,86509,82271,101624,74496,97818,65460,71778,64022,61442,96087,67870,61998,74968,63614,75356,73836,61376,73373,69403,63007,60965,78294,74688,71951,88964,73291,71852,65360,92515,74102,59852,55761,23570,6997,9744,17568
"Culture and leisure services","Mobile shopping",70012,50991,49197,53515,57009,57802,69376,83259,52535,81688,79622,135272,118365,90396,75329,97095,91742,94653,100614,138171,109445,125104,113638,127346,100242,113921,102841,105083,102227,136416,122199,125333,87826,95153,123065,123588,103943,35066,13144,15784,30961
"E-coupon services","Total",88648,80796,90149,84933,98613,95019,91627,100868,100399,96038,124328,150210,105594,129231,139594,133138,169050,165691,171906,180791,203876,202733,239185,267753,236089,230314,253530,222461,271802,256486,278475,304146,272024,296613,363386,338603,305722,324109,348562,334155,339676
"E-coupon services","Internet shopping",14216,11707,12277,12206,14631,16151,15604,17291,17375,16436,20237,27963,20062,20823,23768,21048,31942,34733,32188,27793,35669,34178,39540,40676,32068,23146,30519,25632,31179,30127,32049,48833,29809,30130,40040,34081,33194,34330,47467,38525,43628
"E-coupon services","Mobile shopping",74432,69089,77872,72727,83982,78868,76023,83577,83024,79602,104091,122247,85532,108408,115826,112090,137108,130958,139718,152998,168207,168555,199645,227077,204021,207168,223011,196829,240623,226359,246426,255313,242215,266483,323346,304522,272528,289779,301095,295630,296048
"Food services","Total",183355,173924,192095,196543,210565,195630,224624,253760,239118,242774,280640,339540,347457,324245,361763,365956,389395,413053,456927,496930,463750,502456,510496,630349,623920,616842,712110,687613,743966,775346,828720,914251,850015,907731,1020524,1051804,1063876,1135018,1251923,1263138,1320621
"Food services","Internet shopping",32810,28759,30493,30273,31139,25541,27301,34667,30106,32224,34430,40576,37792,35445,35896,47587,33475,38204,41490,43611,40102,41489,42091,52591,50247,46598,68185,46866,47660,49143,51793,55961,51431,56048,57917,63294,62513,63931,66117,72749,83201
"Food services","Mobile shopping",150546,145165,161602,166271,179426,170090,197324,219093,209012,210551,246210,298964,309665,288800,325867,318369,355920,374849,415437,453319,423648,460967,468405,577758,573673,570244,643925,640747,696306,726203,776927,858291,798583,851683,962607,988510,1001363,1071088,1185806,1190389,1237420
"Miscellaneous services","Total",65597,40733,35946,53217,43491,41104,52019,52619,124287,52464,56711,56692,73143,57680,61834,62168,58382,59336,62419,62096,133184,75523,75220,78190,80302,59239,63577,62386,75738,73099,84203,113270,159365,105421,118647,159202,157259,145624,64542,114569,89885
"Miscellaneous services","Internet shopping",41810,22608,19826,21513,18357,18198,24316,21923,92102,27007,31121,31087,42361,27138,32485,28747,29079,30702,30437,28968,95345,39959,42304,43518,46618,27781,27173,27623,32650,31068,32809,44484,101861,49458,64303,74961,71551,59394,27840,45952,35095
"Miscellaneous services","Mobile shopping",23788,18125,16120,31704,25133,22907,27703,30697,32185,25456,25590,25605,30782,30542,29349,33421,29302,28634,31983,33127,37839,35564,32916,34672,33684,31458,36403,34762,43088,42031,51394,68786,57503,55963,54344,84242,85708,86230,36702,68617,54789
"Others","Total",144492,141578,175648,163064,164517,180332,169045,179305,192273,171293,219066,273094,227959,224621,277245,221213,222905,200405,201779,202654,220440,241164,311896,313984,282020,267559,386739,250508,251465,208820,231253,258487,242332,259873,258443,267018,394715,380936,387031,318471,389398
"Others","Internet shopping",86780,80170,97661,90639,92076,99948,93311,103067,104940,96251,105278,133830,110089,91943,129620,102789,105807,95910,95215,95804,103602,111266,142644,145458,137929,132183,228817,126663,120807,92063,99074,165819,106586,113266,153315,158102,156143,162845,185529,136878,143985
"Others","Mobile shopping",57713,61409,77987,72425,72441,80383,75734,76238,87334,75041,113788,139263,117870,132678,147626,118425,117098,104495,106564,106850,116839,129898,169252,168526,144091,135376,157922,123845,130658,116756,132179,92668,135746,146607,105128,108916,238572,218091,201502,181594,245413
